2024-12-11 02:21:52.017 main    Starting Server
2024-12-11 02:21:52.017 Thread-0  -----[ENTERING SERVER CODE]-----
2024-12-11 02:21:52.879 Thread-1  HTTP Server started on port 8000
2024-12-11 02:21:57.613 Thread-3  Connection from: /127.0.0.1:59784
2024-12-11 02:22:02.668 Thread-4  Connection from: /127.0.0.1:59788
2024-12-11 02:22:07.681 Thread-5  Connection from: /127.0.0.1:59794
2024-12-11 02:22:12.686 Thread-6  Connection from: /127.0.0.1:59799
2024-12-11 02:22:17.697 Thread-7  Connection from: /127.0.0.1:59812
2024-12-11 02:22:22.709 Thread-8  Connection from: /127.0.0.1:59816
2024-12-11 02:22:27.723 Thread-9  Connection from: /127.0.0.1:59822
2024-12-11 02:22:32.731 Thread-10  Connection from: /127.0.0.1:59829
2024-12-11 02:22:37.740 Thread-11  Connection from: /127.0.0.1:59836
2024-12-11 02:22:42.746 Thread-12  Connection from: /127.0.0.1:59840
2024-12-11 02:22:47.758 Thread-13  Connection from: /127.0.0.1:59845
2024-12-11 02:22:52.764 Thread-14  Connection from: /127.0.0.1:59862
2024-12-11 02:22:57.770 Thread-15  Connection from: /127.0.0.1:59897
2024-12-11 02:23:02.780 Thread-16  Connection from: /127.0.0.1:59913
2024-12-11 02:23:07.793 Thread-17  Connection from: /127.0.0.1:59919
2024-12-11 02:23:12.796 Thread-18  Connection from: /127.0.0.1:59924
2024-12-11 02:23:17.817 Thread-19  Connection from: /127.0.0.1:59929
2024-12-11 02:23:22.835 Thread-20  Connection from: /127.0.0.1:59935
2024-12-11 02:23:27.849 Thread-21  Connection from: /127.0.0.1:59942
2024-12-11 02:23:30.710 Thread-22  Connection from: /127.0.0.1:59953
2024-12-11 02:23:30.845 Thread-23  Connection from: /127.0.0.1:59955
2024-12-11 02:23:30.862 Thread-24  Connection from: /127.0.0.1:59957
2024-12-11 02:23:32.853 Thread-25  Connection from: /127.0.0.1:59962
2024-12-11 02:23:37.868 Thread-26  Connection from: /127.0.0.1:59968
2024-12-11 02:23:42.873 Thread-27  Connection from: /127.0.0.1:59973
2024-12-11 02:23:43.876 Thread-28  Connection from: /[0:0:0:0:0:0:0:1]:59975
2024-12-11 02:23:47.891 Thread-29  Connection from: /127.0.0.1:59981
2024-12-11 02:23:52.906 Thread-30  Connection from: /127.0.0.1:59990
2024-12-11 02:23:57.918 Thread-31  Connection from: /127.0.0.1:59997
2024-12-11 02:24:02.925 Thread-32  Connection from: /127.0.0.1:60001
2024-12-11 02:24:07.937 Thread-33  Connection from: /127.0.0.1:60007
2024-12-11 02:24:12.945 Thread-34  Connection from: /127.0.0.1:60011
2024-12-11 02:24:17.954 Thread-35  Connection from: /127.0.0.1:60017
2024-12-11 02:24:22.969 Thread-36  Connection from: /127.0.0.1:60021
2024-12-11 02:24:27.978 Thread-37  Connection from: /127.0.0.1:60025
2024-12-11 02:24:32.999 Thread-38  Connection from: /127.0.0.1:60029
2024-12-11 02:24:38.017 Thread-39  Connection from: /127.0.0.1:60037
2024-12-11 02:24:43.037 Thread-40  Connection from: /127.0.0.1:60042
2024-12-11 02:24:48.052 Thread-41  Connection from: /127.0.0.1:60046
2024-12-11 02:24:53.058 Thread-42  Connection from: /127.0.0.1:60050
2024-12-11 02:24:58.065 Thread-43  Connection from: /127.0.0.1:60056
2024-12-11 02:25:03.072 Thread-44  Connection from: /127.0.0.1:60060
2024-12-11 02:25:08.077 Thread-45  Connection from: /127.0.0.1:60075
2024-12-11 02:25:13.081 Thread-46  Connection from: /127.0.0.1:60085
2024-12-11 02:25:18.095 Thread-47  Connection from: /127.0.0.1:60093
2024-12-11 02:25:23.102 Thread-48  Connection from: /127.0.0.1:60101
2024-12-11 02:25:28.121 Thread-49  Connection from: /127.0.0.1:60108
2024-12-11 02:25:33.142 Thread-50  Connection from: /127.0.0.1:60115
2024-12-11 02:25:38.162 Thread-51  Connection from: /127.0.0.1:60123
2024-12-11 02:25:43.170 Thread-52  Connection from: /127.0.0.1:60131
2024-12-11 02:25:48.187 Thread-53  Connection from: /127.0.0.1:60141
2024-12-11 02:25:53.192 Thread-54  Connection from: /127.0.0.1:60149
2024-12-11 02:25:58.205 Thread-55  Connection from: /127.0.0.1:60155
2024-12-11 02:26:03.219 Thread-56  Connection from: /127.0.0.1:60161
2024-12-11 02:26:08.226 Thread-57  Connection from: /127.0.0.1:60166
2024-12-11 02:26:13.235 Thread-58  Connection from: /127.0.0.1:60172
2024-12-11 02:26:23.251 Thread-59  Connection from: /127.0.0.1:60179
2024-12-11 02:26:28.267 Thread-60  Connection from: /127.0.0.1:60184
2024-12-11 02:26:33.283 Thread-61  Connection from: /127.0.0.1:60188
2024-12-11 02:26:38.305 Thread-62  Connection from: /127.0.0.1:60194
2024-12-11 02:26:43.317 Thread-63  Connection from: /127.0.0.1:60204
2024-12-11 02:26:48.321 Thread-64  Connection from: /127.0.0.1:60208
2024-12-11 02:26:53.332 Thread-65  Connection from: /127.0.0.1:60212
2024-12-11 02:26:58.356 Thread-66  Connection from: /127.0.0.1:60218
2024-12-11 02:27:03.370 Thread-67  Connection from: /127.0.0.1:60227
2024-12-11 02:27:08.377 Thread-68  Connection from: /127.0.0.1:60232
2024-12-11 02:27:13.392 Thread-69  Connection from: /127.0.0.1:60238
2024-12-11 02:27:18.401 Thread-70  Connection from: /127.0.0.1:60244
2024-12-11 02:27:23.418 Thread-71  Connection from: /127.0.0.1:60248
2024-12-11 02:27:28.430 Thread-72  Connection from: /127.0.0.1:60255
2024-12-11 02:27:33.450 Thread-73  Connection from: /127.0.0.1:60260
2024-12-11 02:27:38.460 Thread-74  Connection from: /127.0.0.1:60264
2024-12-11 02:27:43.479 Thread-75  Connection from: /127.0.0.1:60269
2024-12-11 02:27:48.497 Thread-76  Connection from: /127.0.0.1:60273
2024-12-11 02:27:53.509 Thread-77  Connection from: /127.0.0.1:60277
2024-12-11 02:27:58.524 Thread-78  Connection from: /127.0.0.1:60281
2024-12-11 02:28:03.530 Thread-79  Connection from: /127.0.0.1:60286
2024-12-11 02:28:08.540 Thread-80  Connection from: /127.0.0.1:60293
2024-12-11 02:28:13.554 Thread-81  Connection from: /127.0.0.1:60301
2024-12-11 02:28:18.570 Thread-82  Connection from: /127.0.0.1:60311
2024-12-11 02:28:23.584 Thread-83  Connection from: /127.0.0.1:60315
2024-12-11 02:28:28.600 Thread-84  Connection from: /127.0.0.1:60324
2024-12-11 02:28:33.605 Thread-85  Connection from: /127.0.0.1:60330
2024-12-11 02:28:38.610 Thread-86  Connection from: /127.0.0.1:60335
2024-12-11 02:28:43.621 Thread-87  Connection from: /127.0.0.1:60339
2024-12-11 02:28:48.627 Thread-88  Connection from: /127.0.0.1:60344
2024-12-11 02:28:53.639 Thread-89  Connection from: /127.0.0.1:60349
2024-12-11 02:28:58.650 Thread-90  Connection from: /127.0.0.1:60353
2024-12-11 02:29:03.670 Thread-91  Connection from: /127.0.0.1:60358
2024-12-11 02:29:08.684 Thread-92  Connection from: /127.0.0.1:60362
2024-12-11 02:29:13.700 Thread-93  Connection from: /127.0.0.1:60368
2024-12-11 02:29:18.707 Thread-94  Connection from: /127.0.0.1:60374
2024-12-11 02:29:23.717 Thread-95  Connection from: /127.0.0.1:60381
2024-12-11 02:29:28.729 Thread-96  Connection from: /127.0.0.1:60390
2024-12-11 02:29:33.745 Thread-97  Connection from: /127.0.0.1:60396
2024-12-11 02:29:38.762 Thread-98  Connection from: /127.0.0.1:60405
2024-12-11 02:29:43.772 Thread-99  Connection from: /127.0.0.1:60409
2024-12-11 02:29:48.781 Thread-100  Connection from: /127.0.0.1:60414
2024-12-11 02:29:53.800 Thread-101  Connection from: /127.0.0.1:60419
2024-12-11 02:29:58.825 Thread-102  Connection from: /127.0.0.1:60427
2024-12-11 02:30:03.845 Thread-103  Connection from: /127.0.0.1:60431
2024-12-11 02:30:08.860 Thread-104  Connection from: /127.0.0.1:60438
2024-12-11 02:30:13.875 Thread-105  Connection from: /127.0.0.1:60444
2024-12-11 02:30:18.885 Thread-106  Connection from: /127.0.0.1:60450
2024-12-11 02:30:23.901 Thread-107  Connection from: /127.0.0.1:60459
2024-12-11 02:30:28.920 Thread-108  Connection from: /127.0.0.1:60464
2024-12-11 02:30:33.931 Thread-109  Connection from: /127.0.0.1:60471
2024-12-11 02:30:38.945 Thread-110  Connection from: /127.0.0.1:60477
2024-12-11 02:30:43.958 Thread-111  Connection from: /127.0.0.1:60483
2024-12-11 02:30:48.963 Thread-112  Connection from: /127.0.0.1:60487
2024-12-11 02:30:54.001 Thread-113  Connection from: /127.0.0.1:60492
2024-12-11 02:30:59.015 Thread-114  Connection from: /127.0.0.1:60497
2024-12-11 02:31:04.032 Thread-115  Connection from: /127.0.0.1:60501
2024-12-11 02:31:09.049 Thread-116  Connection from: /127.0.0.1:60505
2024-12-11 02:31:14.060 Thread-117  Connection from: /127.0.0.1:60511
2024-12-11 02:31:19.071 Thread-118  Connection from: /127.0.0.1:60518
2024-12-11 02:31:24.080 Thread-119  Connection from: /127.0.0.1:60524
2024-12-11 02:31:29.100 Thread-120  Connection from: /127.0.0.1:60531
2024-12-11 02:31:34.119 Thread-121  Connection from: /127.0.0.1:60537
2024-12-11 02:31:39.133 Thread-122  Connection from: /127.0.0.1:60542
2024-12-11 02:31:44.147 Thread-123  Connection from: /127.0.0.1:60549
2024-12-11 02:31:49.160 Thread-124  Connection from: /127.0.0.1:60554
2024-12-11 02:31:54.177 Thread-125  Connection from: /127.0.0.1:60560
2024-12-11 02:32:04.207 Thread-126  Connection from: /127.0.0.1:60571
2024-12-11 02:32:09.222 Thread-127  Connection from: /127.0.0.1:60581
2024-12-11 02:32:14.237 Thread-128  Connection from: /127.0.0.1:60587
2024-12-11 02:32:19.246 Thread-129  Connection from: /127.0.0.1:60592
2024-12-11 02:32:24.261 Thread-130  Connection from: /127.0.0.1:60598
2024-12-11 02:32:29.273 Thread-131  Connection from: /127.0.0.1:60603
2024-12-11 02:32:34.289 Thread-132  Connection from: /127.0.0.1:60605
2024-12-11 02:32:39.311 Thread-133  Connection from: /127.0.0.1:60614
2024-12-11 02:32:44.320 Thread-134  Connection from: /127.0.0.1:60618
2024-12-11 02:32:49.340 Thread-135  Connection from: /127.0.0.1:60626
2024-12-11 02:32:59.363 Thread-136  Connection from: /127.0.0.1:60637
2024-12-11 02:33:04.380 Thread-137  Connection from: /127.0.0.1:60643
2024-12-11 02:33:09.395 Thread-138  Connection from: /127.0.0.1:60647
2024-12-11 02:33:14.413 Thread-139  Connection from: /127.0.0.1:60651
2024-12-11 02:33:19.418 Thread-140  Connection from: /127.0.0.1:60657
2024-12-11 02:33:24.426 Thread-141  Connection from: /127.0.0.1:60660
2024-12-11 02:33:29.434 Thread-142  Connection from: /127.0.0.1:60667
2024-12-11 02:33:34.460 Thread-143  Connection from: /127.0.0.1:60673
2024-12-11 02:33:39.478 Thread-144  Connection from: /127.0.0.1:60679
2024-12-11 02:33:44.494 Thread-145  Connection from: /127.0.0.1:60684
2024-12-11 02:33:49.503 Thread-146  Connection from: /127.0.0.1:60690
2024-12-11 02:33:54.508 Thread-147  Connection from: /127.0.0.1:60694
2024-12-11 02:33:59.518 Thread-148  Connection from: /127.0.0.1:60703
2024-12-11 03:09:31.880 Thread-149  Connection from: /127.0.0.1:60719
2024-12-11 03:09:36.886 Thread-150  Connection from: /127.0.0.1:60736
2024-12-11 03:09:41.892 Thread-151  Connection from: /127.0.0.1:60748
2024-12-11 03:09:46.908 Thread-152  Connection from: /127.0.0.1:60755
2024-12-11 03:09:51.917 Thread-153  Connection from: /127.0.0.1:60775
2024-12-11 03:09:56.935 Thread-154  Connection from: /127.0.0.1:60783
2024-12-11 03:10:01.958 Thread-155  Connection from: /127.0.0.1:60788
2024-12-11 03:10:06.969 Thread-156  Connection from: /127.0.0.1:60797
2024-12-11 03:10:11.986 Thread-157  Connection from: /127.0.0.1:60803
2024-12-11 03:10:16.996 Thread-158  Connection from: /127.0.0.1:60811
2024-12-11 03:10:22.003 Thread-159  Connection from: /127.0.0.1:60819
2024-12-11 03:10:27.012 Thread-160  Connection from: /127.0.0.1:60825
2024-12-11 03:10:32.020 Thread-161  Connection from: /127.0.0.1:60833
2024-12-11 03:10:37.038 Thread-162  Connection from: /127.0.0.1:60841
2024-12-11 03:10:42.054 Thread-163  Connection from: /127.0.0.1:60846
2024-12-11 03:10:47.068 Thread-164  Connection from: /127.0.0.1:60854
2024-12-11 03:10:52.076 Thread-165  Connection from: /127.0.0.1:60858
2024-12-11 03:10:57.091 Thread-166  Connection from: /127.0.0.1:60869
2024-12-11 03:11:02.099 Thread-167  Connection from: /127.0.0.1:60876
2024-12-11 03:11:07.116 Thread-168  Connection from: /127.0.0.1:60880
2024-12-11 03:11:12.133 Thread-169  Connection from: /127.0.0.1:60890
2024-12-11 03:11:17.154 Thread-170  Connection from: /127.0.0.1:60895
2024-12-11 03:11:22.164 Thread-171  Connection from: /127.0.0.1:60899
2024-12-11 03:11:27.183 Thread-172  Connection from: /127.0.0.1:60902
2024-12-11 03:11:32.208 Thread-173  Connection from: /127.0.0.1:60905
2024-12-11 03:11:37.220 Thread-174  Connection from: /127.0.0.1:60911
2024-12-11 03:11:42.237 Thread-175  Connection from: /127.0.0.1:60917
2024-12-11 03:11:52.260 Thread-176  Connection from: /127.0.0.1:60925
2024-12-11 03:11:57.273 Thread-177  Connection from: /127.0.0.1:60933
2024-12-11 03:12:02.284 Thread-178  Connection from: /127.0.0.1:60937
2024-12-11 03:12:07.294 Thread-179  Connection from: /127.0.0.1:60942
2024-12-11 03:12:12.304 Thread-180  Connection from: /127.0.0.1:60949
2024-12-11 03:12:17.323 Thread-181  Connection from: /127.0.0.1:60956
2024-12-11 03:12:22.335 Thread-182  Connection from: /127.0.0.1:60962
2024-12-11 03:12:27.345 Thread-183  Connection from: /127.0.0.1:60966
2024-12-11 03:12:32.355 Thread-184  Connection from: /127.0.0.1:60971
2024-12-11 03:12:37.368 Thread-185  Connection from: /127.0.0.1:60983
2024-12-11 03:12:42.383 Thread-186  Connection from: /127.0.0.1:60987
2024-12-11 03:12:47.392 Thread-187  Connection from: /127.0.0.1:60992
2024-12-11 03:12:52.406 Thread-188  Connection from: /127.0.0.1:61000
2024-12-11 03:12:57.413 Thread-189  Connection from: /127.0.0.1:61005
2024-12-11 03:13:02.438 Thread-190  Connection from: /127.0.0.1:61009
2024-12-11 03:13:07.452 Thread-191  Connection from: /127.0.0.1:61014
2024-12-11 03:13:12.465 Thread-192  Connection from: /127.0.0.1:61018
2024-12-11 03:13:17.478 Thread-193  Connection from: /127.0.0.1:61022
2024-12-11 03:13:22.491 Thread-194  Connection from: /127.0.0.1:61026
2024-12-11 03:13:27.500 Thread-195  Connection from: /127.0.0.1:61032
2024-12-11 03:13:32.521 Thread-196  Connection from: /127.0.0.1:61039
